,Text,Positive?
579,صباح الاماني الجميلة المحققة باذن الله,1.0
580,صباح الاماني المحققه باذن الله ,1.0
581,صباح الحب من الله علينا جميعا,1.0
582,صباح الخير لك ياشيخ ... لكم كلماتك دائما تشعرني بالامان و السكينة و الرضي بما كتب الله ,1.0
583,صباح الخير و الاشراق و الامل ,1.0
584,صباح الخير و التفكر ,1.0
585,صباح الخير و الحرية و النصر,1.0
586,صباح الخير و السعادة لكم,1.0
587,صباح الخير و النور و الأنوار ,1.0
588,صباح الخير والفل,1.0
589,صباح الخيرات والعبادات,1.0
590,صباح الدرب للجنة,1.0
591,صباح الرحمة و البركات إن شاء الله ,1.0
592,صباح الزنبق والفل والياسمين,1.0
593,صباح السعادة العامرة,1.0
594,صباح العسل ,1.0
595,صباح العفو و التسامح صباح الخير لوجه الخير,1.0
596,صباح الفل,1.0
597,صباح الفل ,1.0
598,صباح الفل و الورد يا شيخ سلمان عطر الله صباحك بذكره و شكره و حسن عبادته,1.0
599,صباح القشطة,1.0
600,صباح النور و السرور ,1.0
601,صباح النور و السرور و الورد المنثور,1.0
602,صباح الهمة و النشاط شيخنا الفاضل,1.0
603,صباح الوجه الصبوح ,1.0
604,صباح الود,1.0
605,صباح الورد الجوري الحمر والخمري,1.0
606,صباح الورد و لوجه طيبة,1.0
607,صباح الورد والفل,1.0
608,صباح الوفاء لك  يا صديقي,1.0
609,صباح كل جميل في هذا الكون,1.0
610,صباح ملؤه الحب و العرفان,1.0
611,صباح ملؤه الخيرات و المسرات,1.0
612,صباح مملوء بالخير لجميع المسلمين يا رب,1.0
613,صباح هادئ ۆ انفاس تحمل تفاؤل ۆ يقين بان گل مَ سيكتبہ أللہ لنا ﻓي كل يومَ خير أصبحنا و أصبح الملك لله ,1.0
614,صباح يغِسلُ گل ما لا يروقني فيً حيٱتيَ و حيٱة ٱحبتيّ و يِجًعلنٱ نتَنفِسْ حُبٱ,1.0
615,صباح ﺎلإشتياق لِتلک ﺎلتي تَجّري مِن تَحّتِہا ﺎلأنہَار لا حُزنَ فِيہا ,1.0
616,صباحات الانوار ,1.0
617,صباحات العقول اليقظة و الهمم الحيية المتوثبة ,1.0
618,صباحات النقاء و الإبتسامات الصافية من القلب,1.0
619,صباحك جمال و روعه ,1.0
620,صباحك خير يا دكتور سلمان,1.0
621,صباحك سعيد,1.0
622,صباحك طيب كطيب المسك و العنبر,1.0
623,صباحك مبروك و عدوك مهلوك,1.0
624,صباحك نور,1.0
625,صباحك ورد و ياسمين معطرين بنسمات من الجنة يا شيخنا الجليل حفظك الله من كل سوء ، نحبك في الله,1.0
626,صباحكـ نقاء يشبه سريرتك ,1.0
627,صباحكم تفائل,1.0
628,صباحكم سعادة وعبادة مقبولة ان شاء الله,1.0
629,صباحكم سعاده,1.0
630,صبحك الله بالخير,1.0
631,صبحكم الله يأهل الطيب بالخير ... و يسعد ضحاكم و الظهر و العشية,1.0
632,صح الصح كمان,1.0
633,صح علشان كدة منكذبش ونرتاح,1.0
634,صح فالابتسامه تصنع السعاده,1.0
635,صح كلامك و أحلى حكمة و محد يبقى للنهاية رغم اتفاق الطرفين,1.0
636,صح لسانك,1.0
637,صح يا اخي صدقت الله يعين الجميع,1.0
638,صحيح,1.0
639,صحيح الابتسامه لها تعابير كثيره,1.0
640,صحيح كل هالشغلة بس قرار وبظن كلنا قادرين نآخدة اذا استعنا وتوكلنا ع الله,1.0
641,صدقت,1.0
642,صدقت و الله يا شيخ,1.0
643,صدقت والله انت تريد وانا اريد والله يفعل ما يريد,1.0
644,صدقت يا أستاذ عمر,1.0
645,صدقت يا رب إجعلنا راضين بقدرك,1.0
646,صدقتي رائعه و معبره الكلام,1.0
647,صراحة الارادة و القناعة هيا الغنى الاكتفاء,1.0
648,صلآة آلفجر ,1.0
649,صلوا علي من بكي شوقاً لرؤيتنا,1.0
650,ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا,1.0
651,طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,1.0
652,طبعا واقع,1.0
653,طريق واحد عدم اليئس هو طريق النجاح,1.0
654,طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت و الله يوفق من يشاء,1.0
655,طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل,1.0
656,طيب انا عايزه اشوف القصر,1.0
657,ظني بالله جميل,1.0
658,عجبتنى الحلقه,1.0
659,عجبتني,1.0
660,عجل يا الله,1.0
661,عشان هيك قال النبي صلى الله عليه وسلم إن الكذب يهدي إلى الفجور...والفجور يهدي إلى النار,1.0
662,عظيم هو إسلامنا، ,1.0
663,على الأقل هناك رجل وفي لإمرأة أحبها وهذا يسعدني,1.0
664,عليك بتقوى الله ان كنت غافلاً ,1.0
665,عم الرجال,1.0
666,عمرتنا كانت مميزة جدا ورائعة,1.0
667,عمل السريرة هو العمل الخالص لله اللهم ارزقنا عمل السريرة,1.0
668,عن جد انتى ما شاء الله عليكى جزاكى الله كل خير,1.0
669,عنجد الكذب اكبر ورطه,1.0
670,عندك حق أنت أمل جميل و مشرق,1.0
671,عيش زي ما بدك و ما ترد على حدا ابدا,1.0
672,عين العقل و ربي,1.0
673,فإجعل اللهم عوضي فيه ,1.0
674,فاظفر بذات الدين تربت يداك,1.0
675,فالأول يصحح مساري و الثاني يزيد من أصراري,1.0
676,فاهجر تجد عوضا عما تفارقه,1.0
677,فتحه و نصرة و نوره و بركته و هداه,1.0
678,فدمك عود مع عنبر,1.0
679,فعلا,1.0
680,فعلا احس في نفسي دللك,1.0
681,فعلا البت جده لما تحتاج ليه هو الانسان الصادق و هو البستاهل تضحي عشان,1.0
682,فعلا الله يبعدنا عن الكذب,1.0
683,فعلا الله يجزيك كل الخير دكتور والله يثبتنا على ديننا,1.0
684,فعلا ان الطموح هو سر النجاح,1.0
685,فعلا ده صحىح مثلا زى سماع الاغانى التى تلهى عن زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك الا بذكره,1.0
686,فعلا في البداية كلهم رائعون,1.0
687,فعلا والله هو القرار والثبات عليه,1.0
688,فما اجمل هذا الدين,1.0
689,فوق من اللي أنت فيه ربك دايمًا جنبك,1.0
690,فوق من اللي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه ..جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار  ,1.0
691,فى ناس كتيرربنااكرمهابنعمة الاسلام ولكنهالاتدرك قيمتها,1.0
692,قال رسولنا الكريم: مثل المؤمنين في توادهم وتراحمهم كالجسد الواحد اذا اشتكى منه عضو تداعى لسائر الجسد بالسهر والحمى,1.0
693,قصة جميلة تعلم الناس كمان الامانة لان اذا اخذ القليل اخذا الكثير,1.0
694,قصة جميلة جدا تعكس معنى الايمان و التمسك بالعقيدة الصحيحة و حسن تعاليمها,1.0
695,قصة جميلة و مهمة جدا,1.0
696,قصة حقيقية رائعة فيها عبرة لكل زوج وزوجة فيها المودة والرحمة ,1.0
697,قصة رائعة أفادك الله من العلم لتفيدنا دائما,1.0
698,قصة رائعه ياريت كل الرجال هيك,1.0
699,قصة فى منتهى الروعة,1.0
700,قصه جميله ودايما انا بحب اسمع البرنامج,1.0
701,قصه في غايه الروعة,1.0
702,قل لي من تصاحب أقول لك من أنت,1.0
703,قمة البلاغة,1.0
704,قول يا الله ده عنك مش بعيد متشلش هم ولا تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق,1.0
705,قول يا رب وخد قرار ,1.0
706,قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم,1.0
707,قول يارب وخذ قرار ,1.0
708,قولى يارب .. ثم توكلى عليه انه نعم المولى و نعم الوكيل.و احتسبى عنده ما تظنين انك لا تقدرين عليه ,1.0
709,كثر الله من أمثالك و زادك الله علم,1.0
710,كرامتى اولى,1.0
711,كرامتي افضل من سعادتي,1.0
712,كل الاحترام,1.0
713,كل سنه وانتم طيبين,1.0
714,كل شئ في حب الله تهون وحب ربنا أقوى بكتير من أى حاجه,1.0
715,كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا و صيامنا,1.0
716,كلام بليغ اللهم أرزقنا الزوج الصالح من يعرف معني رفقا بالقوارير,1.0
717,كلام جميل ,1.0
718,كلام جميل الكرامة أفضل و ابقى للإنسان,1.0
719,كلام جى فى وقته ,1.0
720,كلام حقيقي,1.0
721,كلام حلو ومشجع ,1.0
722,كلام ذهب,1.0
723,كلام رائع وفي وقته وربنا قادر علي كل شئ,1.0
724,كلام سليم ,1.0
725,كلام سليم الف بالميه و الله,1.0
726,كلام سليم والصراحه راحه,1.0
727,كلام طيب,1.0
728,كلام ما في جدل,1.0
729,كلامك جميل ورائع,1.0
730,كلامك يشعرني بالتفاؤل ... و يمدني بالقوة و الاستمرار,1.0
731,كلمات حلو,1.0
732,كلمات رائعه و حلوه و لا احلى ان يكونو في النهايه رائعون,1.0
733,كلماتك عذبة,1.0
734,كلنا ما انتصرنا على نفسنا وعلى الحاجة ددي إلي متعبتنا ومبعدتنا عن الله .، ,1.0
735,كن انت التغير الذي تريد ان تراه,1.0
736,كن انت ذلك الشخص   ,1.0
737,كن كما أنت و لا تتغير من أجل أحد,1.0
738,كن مع الله و لا تبالي ,1.0
739,كنت أخادع الحيـاة لكي أعيش كما أريد .. لكن الحياة خدعتني و عشت كما هي تريد,1.0
740,كﻻمك كله رائع بجد ربنا يكرمك,1.0
741,لأن بالفعل في شي,1.0
742,لا استطيع اللهم ارزقنا العافية وشكر نعمتك,1.0
743,لا اله الا الله محمد رسول الله,1.0
744,لا تحزن الدنيا ما فيها اشي تحزن عليه,1.0
745,لا تحزن ان الله معك,1.0
746,لا تحزن على دنا فانية بل احزن على آخرة باقية,1.0
747,لا تقنتوا من رحمه الله فهي وسعت كل شيء مهما عصينا فلنا رب كبير رحيم ورحمن,1.0
748,لا ربنا يرحمنا برحمته,1.0
749,لا طبعا التقرب الى الله هو خير علاج للحالات النفسية,1.0
750,لا كرامه في الحب والغرام,1.0
751,لا وحده مع القران هو انيسي ام الغرام فلا احتاجه مطلقا,1.0
752,لا يأس مع الحياه,1.0
753,لا يغير الله ما بقوم حتى يغيروا ما بانفسهم,1.0
754,لاتحزن : فإن الحسنة بعشرة أمثالها إلى سبعمائة ضعف إلى أضعاف كثيرة ، و السيئة بمثلها إلا أن يعفو ربك و يتجاوز ، فكم لله من كرم ما سمع مثله ! و من جود لا يقاربه جود,1.0
755,لاتنساني من دعائك الصالح شيخنا..,1.0
756,لازم كل واحد فينا يفكر بشكل ايجابي و يبعد عنه السلبيات,1.0
757,لست الأفضل و لكن لي أسلوبي سأظل دائماً اتقبل رأي الناقد و الحاسد ,1.0
758,لطيف,1.0
759,لك كلك ذوق و حكمه,1.0
760,للهم أملأ قلبي بحبك وحب نبيك وحب كل عمل يقربني إلي حبك,1.0
761,للهم اعنا على ادراك هذا المعنى العظيم يا رب ,1.0
762,لن تموت نفس حتى تستكمل رزقها و أجلها ,1.0
763,لو أغلقت الأبواب في وجهك ، وأظلمت الدنيا، و خنقتك الدموع ، و ضاقت بك الأرض ، استحضر معنى اسم الله الفتاح القادر سبحانه قادر على فتح ما انغلق من أمرك,1.0
764,لو نريد الخشوع حقا نطلق الدنيا,1.0
765,ليت كل ايام السنة رمضان,1.0
766,ليتنا نستطيع الابتسامه في الاوقات المؤلمه,1.0
767,ما أجمل الحياة برضى الله,1.0
768,ما أجمل الصبر و الإصرار,1.0
769,ما أجمل ديننا الاسلامي ,1.0
770,ما اجمل الاخاء,1.0
771,ما اجمل الكلام والاروع ان نطبقه,1.0
772,ما احسنهم الله يكون معهم,1.0
773,ما احلى الوجود بقرب الله,1.0
774,ما ارحمك يا ربى بخلقك سبحانك يا حبيبى يا الله,1.0
775,ما اروع برنامج الطريق الى الله,1.0
776,ما اروعهم ,1.0
777,ما اضيق العيش لولا فسحة الامل،...الحمد لله,1.0
778,ما الزه شكله بشهي بدييييي,1.0
779,ما سال لله الهادي الخالق,1.0
780,ما شاء الله الله يثبتك,1.0
781,ما شاء الله جميله جدا,1.0
782,ما شاء الله على هلتفائل الي عنده,1.0
783,ما في أحلى من التفائل الواحد بعيش مرتاح,1.0
784,ما في احلى من الفرح ,1.0
785,ما في احلى من انه الواحد يوكل وينام,1.0
786,ما فيها شك,1.0
787,ماأجمل الحب و الأخوة في الله أن نخاف على بعضنا حتى في علاقتنا مع ربنا شئ رائع جدا ,1.0
788,مااجمل الوفاء,1.0
789,مااكرمك يا ربي يا كريم,1.0
790,ماخاب من دعا إلى الله,1.0
791,ماشاء الله عليكم بجد موضوع مهم جدا والاهم الرقي الرائع في الحوار ,1.0
792,مافى أجمل من قوله يارب ومن يتجه الى الله عز وجل لن يتركه الله ابدا,1.0
793,متخافش يامؤمن قول يارب وحب ربك دة هو اللى خلق النعمة اللى انت متعلق بيها يعنى هو اعظم من النعمة دى وانت عارف كدة,1.0
794,مثال جميل جدا . عبرة لكل من يحمل رسالة الاسلام,1.0
795,مش عارف لية بيتحوله و هما الى دواره عليك وكان نفسهم تكون معاهم فى الأول,1.0
796,مطلوب نصيحه منك لكي نستحضر الخشوع,1.0
797,مفيش اجمل من ان الانسان يحافظ على كرامته,1.0
798,مفيش اكرم ولا ارحم من ربنا,1.0
799,مقال رائع والله يهدي بناتنا ياااارب ويرجعهم للصواب ,1.0
800,ممكن يكون احسن بالاخلاص,1.0
801,من احبه الله  حبب به خلقه,1.0
802,من بغضه رب العالمين لن يحبه احد ,1.0
803,من ترك شيءا لله عوضه الله خيرا منه,1.0
804,من ترك شيئا لله عوضه الله خيرا منه,1.0
805,من ترك شيئا لله عوضه الله نورا وايمانا في قلبه,1.0
806,من توكل على الله .. يعانق قلبه النور و الصفاء ,1.0
807,من دون التفاؤل ما في حياة,1.0
808,من رافق وافق,1.0
809,من كانت له عزيمة لن ييأس ، ومن ابتغى الأجر من الله ثابر، حياكم الله اخي مؤمن,1.0
810,من يتقي الله يجعل له مخرجا,1.0
811,من يتوكل على الله فهو حسبه,1.0
812,موضوع اكتر من رآئع ...,1.0
813,ناس عزيزة و المعزة لهم غير ... فيهم صفات الصالحين العلية,1.0
814,نحن نحبك في الله و ندعو لك بظهر الغيب,1.0
815,نرجو من الله أن يتقبل صلاتنا رغم ما تمر به بلدنا من أزمة صار الواحد خايف على نفسه و مستعجل بصلاته و أنا كلما صليت اعتبرها صلاة مودع فيخشع قلبي و تدمع عيناي,1.0
816,نسأل الله تعالى أن تكون بحق أرحنا بها يا بلال و ليس أرحنا منه,1.0
817,نستجير بالله,1.0
818,نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعة الفجر و حيوية صبح يتنفس منتشيا و مرحبا بكل مبادر للخير,1.0
819,نعم,1.0
820,نعم احسنت ، واجبة على كل مسلم وحق لكل مسلم.. فتح الله عليكم,1.0
821,نعم الاخ وما أطيب قلبه,1.0
822,نعم الصديق الوفى,1.0
823,نعم الوقت يمر بسرعة,1.0
824,نعم رجل بهمّة يحيي الله به أمّة,1.0
825,نعم صدقت لله درك,1.0
826,نعم فالنجعل حب الله هو الغايه وربنايسامح كل تائب,1.0
827,نعم فى البدايه كلهم اروع من الروعة,1.0
828,نعم والحمد لله,1.0
829,نفسي اروح عمرة واشوف الكعبة,1.0
830,نفسي يوم اكل وانا مش مستعجلة,1.0
831,نفع الله بك يا دكتور,1.0
832,نهارك طيب و مبروك,1.0
833,هادي الاخوة الصادقة,1.0
834,هاكدا هو دين المحبه الصحيح .. بس للاسف الكثيرين يتبنوه حسب ما يشتهون ,1.0
835,هاي اخلاق خليلنا الحبيب,1.0
836,هذا اكيد,1.0
837,هذا الشخص هو انت يامصطفى ,1.0
838,هذا سلامي يسبق البرق و الطير ... فيه الحروف معطرة بالتحية ,1.0
839,هذا هو الحب الاصيل الوفي بكل معنى الوفاء,1.0
840,هذا هو الدين ,1.0
841,هذا هو المهم,1.0
842,هذه من أقوال الرفيق المناضل ,1.0
843,هستوكم ,1.0
844,هكذا المسلمون,1.0
845,هل تعلم ان المطر يتشكل اولا على هيئة بلورات ثلج داخل الغيوم و يتحول الى قطرات ماء بعد ذوبانه و هو في طريقه الى اليابسة.,1.0
846,هو رحيم بكل شىء في الكون هو الخالق فلابد ان يرزق مخلوقاته,1.0
847,و الله أنا بقول كده م الصبح,1.0
848,و الله انت حبيبي ,1.0
849,و الله بذل نفسي مرة و اتنين و خمسين عشان الغرام الحلال احلى لكن مين يحس و يفهم و يقدر,1.0
850,و الله ثقف نفسك ده بيقول كلام زى الفل,1.0
851,و الله و بالنهاية يكونو رائعون,1.0
852,و بحب الناس الرايقه الي بتضحك على طول,1.0
853,و بلبل شادى بفنه,1.0
854,و تربت على كتوفنا و تشحننا بالتفاؤل أيضاً .. و صباحك أسعد,1.0
855,و جنة النعيم من الرحمن,1.0
856,و خير الابتسامة ,1.0
857,و خير الكلام ما قل و دل,1.0
858,و رزقك خير هذا اليوم,1.0
859,و ريحة الياس و الحنة,1.0
860,و طمّأنينَه صباح ٱلآملَ بًٱللِه و ٱلثِقةً,1.0
861,و ما من دابة في الأرض و لا طائر يطير بجناحيه الأ على الله رزقه,1.0
862,و مفيش احلى من قضاء ربنا,1.0
863,و نرجو لك دوام الخير و المحبة من الله و من الناس,1.0
864,و نعم الصديق,1.0
865,و يرزقكم من حيث لا تعلمون,1.0
866,وأعظمها امة سيدنا محمد,1.0
867,واجعلنا من سكانها,1.0
868,والحاجة الي انت بتحبها دي هي مش اكتر من حاجة زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين,1.0
869,والشكرلله والفضل لله على هذه النعمه التي انعم الله علينا بها وجعلنا من الماء كل شي حي,1.0
870,والله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي  الحمد لله وخات القرار ,1.0
871,والله الكل نعمة كبيرة ,1.0
872,والله الواحد بيدعي كثيرا ان ربنا يجعلنا في طريق مستقيم,1.0
873,والله انت الحبيبة يا طيبة,1.0
874,والله اني احبك في الله يا ,1.0
875,والله اني لاحس بالشفقة علابنات الجامعات ,1.0
876,والله رفعتوا راسنا يا شباب الله يقويكم,1.0
877,والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير ,1.0
878,والله نفسى بس الواحد بيجى علية فترات ينسى يعمل اية بجد,1.0
879,والله هذا الى حصل معانا ومع ناس كثيرة بدل حب الحرام بحب الحلال يبدل الله كيانك,1.0
880,والنعم والاخلاق والنعم والصداقه والنعم ف الاخوه,1.0
881,وان مدحتك بالقصائد ماوفيت,1.0
882,وانا من الناس اللي فعلا محتاجين يحاسبوا نفسهم ويصلحو من نفسهم لاننا عارفين انه لا ملجأ لنا الا لله,1.0
883,وبشر الصابرين,1.0
884,وجعلنا من الماء كل شيء حي,1.0
885,وسط لا يوجد تركيز,1.0
886,وعجلت اليك ربي لترضى,1.0
887,وعجلت اليك ربي لترضي ,1.0
888,وعلي الله قصد السبيل,1.0
889,وفقكم الله,1.0
890,وكل منهو دنا منك,1.0
891,ولا تنسو تبسمك في وجه اخيك صدقه,1.0
892,وماذا عن التفاؤل في يوم ربيعي جميل نحقق به الامال الطوال,1.0
893,ومن احسن قولاممن دعاالي وعمل صالحاووقال انني من المسلمين، ,1.0
894,ونشوف اغلى الاحبة في الروضة الرحيبة,1.0
895,ونعم الصديق,1.0
896,ونعم بالله العلي العظيم,1.0
897,ونعم بالله عزوجل,1.0
898,ونعم بالله من أختار قرب الله فما خاب ابدآآآآ الله على دى راحه وده شعور الحمد لل,1.0
899,ونعم.بالله أرحم الراحمين وأنيس المستوحشين,1.0
900,ونعمه بالله,1.0
901,وياريت بتظبط الكذب ماوش رجلي,1.0
902,يأتيك بالأرزاق من حيث لا تدري ,1.0
903,يا ارحم الراحمين يا الله,1.0
904,يا الله ارحم عبدك الفقير المسكين وجميع المسلمين والمسلمات,1.0
905,يا الله استجب دعائي ياالله مادكيت بابك يوم ورحعتني خالية الوفاض,1.0
906,يا الله عالمواساه يرحم ايام زمان,1.0
907,يا الله كلامك بلسم,1.0
908,يا جماعه دعواتكم لاهل سوريا فهم في اشد الحاجه لدعائنا لنرفع اكفنا لرب الكون ان يحميهم و يحمي كل امة محمد لا تنسوهم من دعائكم و المال الذي وهبكم الله فيا بني ادم يوما لك ويوما عليك و كما تدين تدان,1.0
909,يا حلالي ويا مالي ايوش هييييييييك لازم من زمان,1.0
910,يا رب إجعلنا من الصالحين,1.0
911,يا رب ارزقنا الفرح والسعادة ,1.0
912,يا رب اريد تجديد ايماني ساعدني,1.0
913,يا رب استجب دعائنا وانصر اهلنا في سوريا,1.0
914,يا رب اسعد قلبي,1.0
915,يا رب اعني ع إتخاذ القرار,1.0
916,يا رب اللهم اجعلنى خير مما يظنون و اغفر لى ما لا يعلمون,1.0
917,يا رب بلغنا رمضان و أنت راضي عنا ,1.0
918,يا رب بناتنا و شبابنا كلهم يستطيعوا العمل بهذه النصيحة يا ريتا كلنا نتذكر أننا كلنا دعاه للإسلام بأخلاقيتنا و الصفات الحسنة,1.0
919,يا رب تقوينا على طاعتك,1.0
920,يا رب خد بياايدينا يااجبرنا ياجبار السموات والارض,1.0
921,يا رب رضينا و امنا و صدقنا ... فارضينا برضاك عنا .. و اجبر كسر قلوبنا و هون علينا ,1.0
922,يا رب فرج,1.0
923,يا رب قدرنى,1.0
924,يا رب قويني علي نفسي,1.0
925,يا رب كن لي وكيل,1.0
926,يا رب ما لنا سواك,1.0
927,يا رب نستغفرك ونتوب اليك,1.0
928,يا رب يا خير الرازقين ارزق أهل سوريا و جميع المسلمين النصر و الثبات و التقوى,1.0
929,يا رب يتقبل منا و الله العقل مو فاضي و القلب مكسور,1.0
930,يا رب يكرمنا بأولادنا و أنا دائما بشجع إبني أن يكون كالجبل الذي لا تهزه الرياح العاتية,1.0
931,يا ريت لو يعملوا دورات قبل الزواج ,1.0
932,يا سلام على الوفاء,1.0
933,يا سلام على الوفاء اللي اتفقد في عصرنا ويا حسرتاه على الحب الذي بات مجرد كلمات,1.0
934,يا سلام ما أحلى أن يواسي المسلم أخاه  هذه هي أخلاق الإسلام التي أصبحنا نفتقدها يوماً بعد يوم,1.0
935,يا شيخ خالد ربي يحفظك نبي منك طلب ,1.0
936,يا صاحب الفرج ,1.0
937,يا طيب صباحك كل خيرات,1.0
938,يا طيبة الخير جينا,1.0
939,يا طيبة بالروح افتدينا,1.0
940,يا عالي بلا درج,1.0
941,يا عطاء. يامنان يا اكرم الاكرمين,1.0
942,يا عمي ما في احلى من الاكبل,1.0
943,يا عني علي ذكرك و شكرك و حسن عبادتك,1.0
944,يا لطيف ألطف بنا,1.0
945,يا لطيف الله يلطف فينا و يصلحنا ظاهر باطن,1.0
946,يا مسهـــــــــــــــــــــل يا رب ,1.0
947,يا مصلح القلوب أصلح أحوالنا,1.0
948,يا معين يا رب,1.0
949,يا مقلب القلوب ثبت قلوبنا على الاسلام,1.0
950,يا مقلب القلوب والابصار ثبت قلبى على دينك,1.0
951,يا من شق البحر لموسى حتى خرج,1.0
952,يا من يرزق النعاب في عشّه .. هيّء لنا مقادير ,1.0
953,يا هيك الاكل يا بلا لش الحكي,1.0
954,يا هيك الشباب يا بلاش,1.0
955,يااااااااااا الله ما احلاه من خبر والله فرحتوني,1.0
956,ياااااارب اعنا على عدم معصيتك,1.0
957,يااااارب إغفر لي ذنبي وأرزقني حبك .هوربنا ممكن يكره حد لو فضل يكرر ذنبه بعد الإستغفار,1.0
958,ياااارب قربني إليك وأقترب لي أكثر,1.0
959,يارب أخرجنا من ذل المعصيه إلي عز الطاعه,1.0
960,يارب أعيني علي دكرك وشكرك وحسن عبادتك ,1.0
961,يارب أنت المستعان فأعنا واهدنا يارب الكون أجمع استجب,1.0
962,يارب اجعلنى من الصالحين,1.0
963,يارب اجعلنى من المصلحين,1.0
964,يارب اجمع امتك علي دينك يارب وشت اعداء الدين,1.0
965,يارب احمينا من شرور انفسنا وسىئات اعمالنا,1.0
966,يارب ارزق العزيمة لاتخاذ القرار ويا رب اخلفنا خيرا منه,1.0
967,يارب اعنا علي ترك المعاصي ماحيينا,1.0
968,يارب اعني على هذا القرار,1.0
969,يارب اهدنا وقوى عزيمتا الى ما تحب وترضى,1.0
970,يارب اهدي بنات وشباب المسلمين الي ما يرضيك عنهم وكفيهم شر فتن الدنيا والاخره,1.0
971,يارب اهدينا للصواب,1.0
972,يارب اوقف جنبي وقدرني,1.0
973,يارب تهدينا إلي الصراط المستقيم,1.0
974,يارب توب علينا وساعدنا نتوب وبصرنا بعيوبنا لان ساعات كتير بننسه,1.0
975,يارب ثبتنا بعد اخذ القرار لان هو ده الاهم و الاصعب,1.0
976,يارب دعوناك فستجب لنا وحقق لنا ماهو اصلح وافضل لنا,1.0
977,يارب ساعدني وقويني وساعدني أخد حبيبي,1.0
978,يارب طهر قلوبنا,1.0
979,يارب عوضنا خير مما أخذ منا,1.0
980,يارب قويني,1.0
981,يارب كرهنى وابعدنى فيما يغضبك,1.0
982,يارب كون معاي .وإنو من ترك شيئآ لله عوضه الله خيرآ منها في الدنيا قبل الآخره جربو وحتشوفوا بعينكم إللي حيحصل,1.0
983,يارب ناخذ القرار الصح,1.0
984,يارب وانت إدعيلي,1.0
985,يارب يتقبل منا والله العقل مو فاضي والقلب مكسور,1.0
986,يارب يقدرنا على ادخال المياه النظيفة لكل بيت محتاجة المياه,1.0
987,يارب يقوينا جميعا على طاعته وحسن عبادته ,1.0
988,ياريت حدا عم يواسي السوريين بغربتهن للاسف باب رزق جديد للعرب,1.0
989,ياسلام حلوشديد,1.0
990,يالله ارحم احبتى واشفهم وعافهم واعف عنهم,1.0
991,يالله ما اروع هائولاء الناس,1.0
992,ياي ما ازكاه هاد الاكل,1.0
993,يجب دائما أن نعتني بالورود لكي تكبر,1.0
994,يجب على المسلم ان يواسى اخوه فى الاسلام,1.0
995,يجب على كل مسلم الإعتزاز بدينه في جميع الأمور صغيرها و كبيرها,1.0
996,يخفي صنائعه و الله يظهرها,1.0
997,يرزق من يشاء بغير حساب,1.0
998,يسعد اوقاتك ,1.0
999,يسعد صباحك بذكر الرحمان,1.0
1000,يشم الطيب ويتعطر يا دكتور عمر,1.0
1001,يعطيك العافية ,1.0
1002,يميييي شو هالاكلات الزاكبة هاي شهتونا,1.0
1003,ينور عليك..........ويكثر من امثالك ,1.0
1004,يهدي الله من يشاء,1.0
1005,يُسعدنِي وُجودُكمْ بِالصَفْحَة ,1.0
1006,ﺻﻠـﻲ ﻋﻠﺸـﺎﻥ ﻏﻴﺮﻙ ﻧﻔﺴـﻪ ﻳﻘـﻮﻡ ﻣﻦ ﻗﺒﺮﻩ ﻳﺼﻠـﻲ  ,1.0
1007,  أخ يا بطني عورني من الضحكككك ,0.0
1008,  احذفه لاني بجلس احش فيهم لمين اكفر,0.0
1009,  الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقة ولا زبي تفو,0.0
1010,  بيجيبو الشيوخ ليسهزاءو فيهم,0.0
1011,  سبحان الله غصبن على الي مايرضى ودهم يروحون النار حتى بالحرام موفالحين,0.0
1012,  غبي,0.0
1013,  فضحتونا من وين نحنا بال48 عنا برامج هيك تافها ومخمجي,0.0
1014,  لا لا لا شي مو طبيعي,0.0
1015,  لااااااا وربي صوتها غلييييييظ جدا ,0.0
1016,  يا ربي شو هالولد و الله مجنون مبيستحييش متاكدين انو مغربي,0.0
1017,  يخرب الدلع,0.0
1018, .. مسخرة,0.0
1019, 58 ثانية كأنه جورج وسوف وهو في الحمام معه اسهــــــــــال تكرمون جميعاااااااااااً ,0.0
1020, foxboxer4 حرام عليك ماتشوفه شلون يصارخ كانه مشجع في ملعب,0.0
